#,Date-Time (MDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Host Connected,End of File
1,07/13/2023 16:52:02,27.80,287.28,,
2,07/13/2023 17:07:02,27.20,313.44,,
3,07/13/2023 17:22:02,26.60,258.56,,
4,07/13/2023 17:37:02,26.38,299.52,,
5,07/13/2023 17:52:02,25.99,299.52,,
6,07/13/2023 18:07:02,25.69,253.12,,
7,07/13/2023 18:22:02,25.39,243.52,,
8,07/13/2023 18:37:02,25.22,228.72,,
9,07/13/2023 18:52:02,24.97,213.68,,
10,07/13/2023 19:07:02,24.79,204.08,,
11,07/13/2023 19:22:02,24.62,210.16,,
12,07/13/2023 19:37:02,24.41,222.64,,
13,07/13/2023 19:52:02,24.32,231.36,,
14,07/13/2023 20:07:02,24.32,241.76,,
15,07/13/2023 20:22:02,24.19,246.32,,
16,07/13/2023 20:37:02,24.15,220.00,,
17,07/13/2023 20:52:02,24.06,161.32,,
18,07/13/2023 21:07:02,24.06,65.18,,
19,07/13/2023 21:22:02,24.32,24.26,,
20,07/13/2023 21:37:02,24.45,5.88,,
21,07/13/2023 21:52:02,24.54,1.52,,
22,07/13/2023 22:07:02,24.66,1.08,,
23,07/13/2023 22:22:02,24.75,1.08,,
24,07/13/2023 22:37:02,24.79,1.08,,
25,07/13/2023 22:52:02,24.84,2.17,,
26,07/13/2023 23:07:02,24.92,1.08,,
27,07/13/2023 23:22:02,24.97,1.08,,
28,07/13/2023 23:37:02,24.97,1.08,,
29,07/13/2023 23:52:02,25.01,1.08,,
30,07/14/2023 00:07:02,25.01,2.17,,
31,07/14/2023 00:22:02,25.05,1.08,,
32,07/14/2023 00:37:02,25.05,1.08,,
33,07/14/2023 00:52:02,25.05,1.08,,
34,07/14/2023 01:07:02,25.05,1.08,,
35,07/14/2023 01:22:02,25.01,1.08,,
36,07/14/2023 01:37:02,25.05,1.08,,
37,07/14/2023 01:52:02,25.05,1.08,,
38,07/14/2023 02:07:02,24.97,1.08,,
39,07/14/2023 02:22:02,25.01,1.08,,
40,07/14/2023 02:37:02,25.01,1.08,,
41,07/14/2023 02:52:02,24.92,1.08,,
42,07/14/2023 03:07:02,24.88,1.08,,
43,07/14/2023 03:22:02,24.88,1.08,,
44,07/14/2023 03:37:02,24.84,1.08,,
45,07/14/2023 03:52:02,24.84,1.08,,
46,07/14/2023 04:07:02,24.79,1.08,,
47,07/14/2023 04:22:02,24.75,1.08,,
48,07/14/2023 04:37:02,24.75,1.08,,
49,07/14/2023 04:52:02,24.75,1.08,,
50,07/14/2023 05:07:02,24.71,1.08,,
51,07/14/2023 05:22:02,24.62,1.08,,
52,07/14/2023 05:37:02,24.32,1.08,,
53,07/14/2023 05:52:02,23.98,1.96,,
54,07/14/2023 06:07:02,23.72,9.80,,
55,07/14/2023 06:22:02,23.46,33.16,,
56,07/14/2023 06:37:02,23.34,68.62,,
57,07/14/2023 06:52:02,23.25,232.40,,
58,07/14/2023 07:07:02,23.29,303.20,,
59,07/14/2023 07:22:02,23.34,320.00,,
60,07/14/2023 07:37:02,23.42,317.12,,
61,07/14/2023 07:52:02,23.46,305.60,,
62,07/14/2023 08:07:02,23.59,289.92,,
63,07/14/2023 08:22:02,23.72,275.76,,
